Fecha,Hora,Contenido,Sentimiento,
9/10/2023,3:18:00 p.m.,"Asegurar el bienestar financiero también es llegar informado y a tiempo a declarar renta. Para lograrlo Bancolombia y Tributi, tendrán un webinar con expertos en esta obligación tributaria, el miércoles 2 de agosto a las 4:00 p.m. Aquí 👉 https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3Ameeting_OWJlY2VhYjctMjgzZC00YjBmLTkwZTctN2NhODdmZWRlZDg4%40thread.v2%2F0%3Fcontext%3D%257B%2522Tid%2522%3A%2522b5e244bd-c492-495b-8b10-61bfd453e423%2522%2C%2522Oid%2522%3A%252239345217-8b5a-4b89-bff6-8e51ae23577c%2522%2C%2522IsBroadcastMeeting%2522%3Atrue%2C%2522role%2522%3A%2522a%2522%257D%26btype%3Da%26role%3Da%26anon%3Dtrue&type=meetup-join&deeplinkId=e2266d28-6adf-4915-9f3d-f81aae26e19c&directDl=true&msLaunch=true&enableMobilePage=true pueden conectarse https://t.co/t8dajUZiRi",OBJECTIVE,
9/10/2023,5:43:00 p.m.,"Los cajeros de Bancolombia a reventar, 12 libras de papa en 5k, dólar a 3.900.  algo está haciendo petrosky que la economía está mejorando.",OBJECTIVE,
9/10/2023,10:32:00 a.m.,"@Bancolombia llevo 1 mes intentando que me reciban una PQRS... Es increíble que me limiten hacer este proceso solo por línea telefónica y que las llamadas se quedan ahí y nunca me dan respuesta, o si responden me dan 10 excusas y que no procede... CC @SFCsupervisor",NEGATIVE,
9/10/2023,1:38:00 p.m.,"RT @TwiterosCali: #Desahoguese @sntandres:Mal servicio BANCOLOMBIA, parece un metodo para retener el dinero cada quincena. https://t.co…",NEGATIVE,
9/10/2023,7:12:00 a.m.,"Bancolombia con muchas quejas por perdidas de dinero en transferencias de cuentas, me acabo de pasar y están perdidos casi 7 millones.",OBJECTIVE,
9/10/2023,8:30:00 a.m.,@Bancolombia @Paux_R Pregunta seria. Uno cuando llama al número dice El Machetazo. Ese número todavía sirve o están usando uno falso para sacar información?,OBJECTIVE,
9/10/2023,12:00:00 a.m.,"RT @elmikerincon: @Bancolombia No me contestan nada por ningún canal, no es posible que una entidad financiera actúe así, esto debe ser ile…",NEGATIVE,
9/10/2023,11:45:00 p.m.,"@Bancolombia el dia viernes realice transacciones desde mi cuenta de ahorros a mi Fiducuenta. Tengo 2.000.000 embolatados, hoy he llamado todo el día a la linea y lo único que me dicen es que debo esperar. La pregunta es esperar hasta cuando? Me van a reconocer los intereses?",NEGATIVE,
9/10/2023,3:22:00 p.m.,Expliquenme el porqué Bancolombia pide actualizar la página si esa mondá a cada rato se cae y  ¿Saben que es lo peor? Qué te cobran el 4x1000  ¡Sin tener más de una cuenta! Nombe pa' que me molesto en emocionarme en que paguen si estos señores me van a cobrar 🤣,NEGATIVE,
9/10/2023,11:36:00 a.m.,RT @IlimarHdz: @SFCsupervisor y ustedes como entidad que estan regulando? Hubo el viernes con @Bancolombia una situación masiva en la que quedaron en 0 las cuentas de muchas personas o transacciónes rechazadas donde igual debitaron la plata y no reembolsaron. Quien responde? @AtlanticoEmi,NEGATIVE,
9/10/2023,7:00:00 p.m.,RT @fniunaminas2022: Hacen dos meses comenzamos la colecta para reunir $2.600.000 que vale la silla del #heroe camero al la fecha van $550.000 unete no seamos indiferente CTA ahorros Bancolombia 48612235590 NEQUI 3112591975 WhatsApp 3112591975 regalanos un RT ayúdanos ayudar 🙏🙏🙏 @ghitis @lcvelez https://t.co/kNuJouRDLW,OBJECTIVE,
9/10/2023,11:58:00 a.m.,RT @fniunaminas2022: Hacen dos meses comenzamos la colecta para reunir $2.600.000 que vale la silla del #heroe camero al la fecha van $550.000 unete no seamos indiferente CTA ahorros Bancolombia 48612235590 NEQUI 3112591975 WhatsApp 3112591975 regalanos un RT ayúdanos ayudar 🙏🙏🙏 @ghitis @lcvelez https://t.co/kNuJouRDLW,OBJECTIVE,
9/10/2023,11:11:00 p.m.,"@LauraMRiveraG @Bancolombia @SFCsupervisor Yo también sigo esperando de verdad, que falta de respeto.",NEGATIVE,
9/10/2023,11:48:00 p.m.,"RT @thiagok017: Este y más vídeos en el drive actualizado semanalmente solo por 18k nequi , daviplata, Bancolombia 3166500753 https://t.co/…",OBJECTIVE,
9/10/2023,10:14:00 p.m.,RT @fniunaminas2022: Hacen dos meses comenzamos la colecta para reunir $2.600.000 que vale la silla del #heroe camero al la fecha van $550.000 unete no seamos indiferente CTA ahorros Bancolombia 48612235590 NEQUI 3112591975 WhatsApp 3112591975 regalanos un RT ayúdanos ayudar 🙏🙏🙏 @ghitis @lcvelez https://t.co/kNuJouRDLW,OBJECTIVE,
9/10/2023,10:28:00 p.m.,RT @Iam_whitexxx: Noches...Porque buenas 😏😏 Ya saben packs al DM 😈TETAS naturales y blanquitas.Like ❤️RT📌Acepto PayPal Bancolombia Nequi Pago móvil BCP Cuenta Guayaquil 💰#Packs #Hot #Latina https://t.co/kDo7pm6hOW,OBJECTIVE,
9/10/2023,11:10:00 p.m.,@Bancolombia Necesito una solución de mi dinero !!!,OBJECTIVE,
9/10/2023,4:04:00 p.m.,Noches...Porque buenas 😏😏 Ya saben packs al DM 😈TETAS naturales y blanquitas.Like ❤️RT📌Acepto PayPal Bancolombia Nequi Pago móvil BCP Cuenta Guayaquil 💰#Packs #Hot #Latina https://t.co/kDo7pm6hOW,OBJECTIVE,
9/10/2023,4:30:00 p.m.,@Bancolombia @SFCsupervisor Dejan inconcluso los temas por mensajes internos !!,OBJECTIVE,
9/10/2023,12:42:00 p.m.,Tan raro que la aplicación de @Bancolombia no funcione.,NEGATIVE,
9/10/2023,12:47:00 p.m.,@Bancolombia E acaban de hacer un débito por 60.000 y no se de qué. Llamo a la línea y no me dan información. Necesito mi dinero de vuelta. https://t.co/ztGtws1WM0,NEGATIVE,
9/10/2023,5:21:00 p.m.,@SFCsupervisor y ustedes como entidad que estan regulando? Hubo el viernes con @Bancolombia una situación masiva en la que quedaron en 0 las cuentas de muchas personas o transacciónes rechazadas donde igual debitaron la plata y no reembolsaron. Quien responde? @AtlanticoEmi,NEGATIVE,
9/10/2023,12:56:00 p.m.,RT @Lidio_Dominante: App Bancolombia                              Popularidad de Petro                               🤝…,NEGATIVE,
9/10/2023,2:54:00 p.m.,@TrinoMaestro @jmfranco7 @Bancolombia Porfa escríbenos por interno para ayudarte con este inconveniente.,OBJECTIVE,
9/10/2023,5:57:00 p.m.,"RT @Danisexxkiss: PROMO‼️ SOLO para Colombia 🇨🇴  50% ✨️videollamada de 20 minutos + 30 videos + 30 fotos sin censura Anal, oral etc por solo $ 20.000 ✨️20 videos + 20 fotos por solo $ 10.000pago bancolombia y Nequi REGALO🎁@Nequi@Bancolombia#Nequi #bancolombia#LatinaNoticias https://t.co/ey4vXQ18vO",OBJECTIVE,
9/10/2023,7:13:00 p.m.,"/.: Ayyy...buen primor al sextuple escuchaba O_= Bancolombia esa plataforma AI andan con esteroides, pesitos se creen US ahora virus Q entro los BRICS descunchandita observaba Unicentro no pasa Q no madrugue vera cuadrar esos ceritos...?. https://t.co/78S7WAegp7",OBJECTIVE,
9/10/2023,5:18:00 p.m.,RT @fniunaminas2022: Hacen dos meses comenzamos la colecta para reunir $2.600.000 que vale la silla del #heroe camero al la fecha van $550.000 unete no seamos indiferente CTA ahorros Bancolombia 48612235590 NEQUI 3112591975 WhatsApp 3112591975 regalanos un RT ayúdanos ayudar 🙏🙏🙏 @ghitis @lcvelez https://t.co/kNuJouRDLW,OBJECTIVE,
9/10/2023,2:18:00 p.m.,"RT @TwiterosCali: #Desahoguese @sntandres:Mal servicio BANCOLOMBIA, parece un metodo para retener el dinero cada quincena. https://t.co…",NEGATIVE,
9/10/2023,9:06:00 p.m.,"#Desahoguese @sntandres:Mal servicio BANCOLOMBIA, parece un metodo para retener el dinero cada quincena. https://t.co/S9FgyNZeiY",NEGATIVE,
9/10/2023,1:03:00 p.m.,"No me sirve WhatsApp, cualquier cosa me envían un mensajito por Bancolombia.",OBJECTIVE,
9/10/2023,12:55:00 p.m.,"RT @plateaconriver: Mirá vos, los estafadores están enloquecidos mandando sms fradulentos. Este de @Bancolombia usando un número clásico, y no su número con cinco dígitos, parece hasta real. https://t.co/0LlcuFIojO",OBJECTIVE,
9/10/2023,12:39:00 p.m.,"@SFCsupervisor en bancolombia están sucediendo algo raro con la cuentas de ahorros, hoy hice un traslado a mi nequi por $6.000.000 y me descontaron $12.995.985, la diferencia es de $6.995.895 que no aparecen, es momento de ponerle cuidado, porque está sucediendo seguido.",NEGATIVE,
9/10/2023,12:47:00 p.m.,"Mirá vos, los estafadores están enloquecidos mandando sms fradulentos. Este de @Bancolombia usando un número clásico, y no su número con cinco dígitos, parece hasta real. https://t.co/0LlcuFIojO",NEGATIVE,
9/10/2023,11:47:00 a.m.,RT @Bancolombia: ¿Una Cuenta de Ahorros que te sirva para todo? Ábrela sin complicaciones por internet y en minutos podrás empezar a disfru…,POSITIVE,
9/10/2023,11:04:00 p.m.,"RT @CasaAmarilla: Llame otra vez para confirmar la cita -  como tengo negocio con 10 decos y no puedo arrendar las habitaciones.Me confirmaron que no tenían ninguna confirmación de una cita. Que hago, es un complot de Directv, Avianca, Bancolombia, Claro etc de joder la vida de los usuarios?",POSITIVE,
9/10/2023,11:58:00 a.m.,"RT @CasaAmarilla: Llame otra vez para confirmar la cita -  como tengo negocio con 10 decos y no puedo arrendar las habitaciones.Me confirmaron que no tenían ninguna confirmación de una cita. Que hago, es un complot de Directv, Avianca, Bancolombia, Claro etc de joder la vida de los usuarios?",POSITIVE,
9/10/2023,12:42:00 p.m.,"Conéctate con #TeatroDigital y el concierto CreaSonidos con artistas como Yuri Buenaventura, Juan Enríquez, Cubanía Son, Maye Aroca y Son Cultura,  representación de diferentes herencias de nuestro país 🎶🇨🇴.Por https://www.teatromayor.org/es/teatro-digital/en-vivo?utm_source=TW&utm_medium=CPV&utm_campaign=TD_CreaSonidos27Jul23_310723&utm_content=CatchUp, con @Bancolombia hay #UnaEntradaParaTodos https://t.co/2tZ2h0GRRz",POSITIVE,
9/10/2023,11:48:00 p.m.,Si tienen la oportunidad de abrir una cuenta en @Bancolombia DESAPROVENCHELA!! ES Paupérrima.,OBJECTIVE,
9/10/2023,4:21:00 p.m.,"Llame otra vez para confirmar la cita -  como tengo negocio con 10 decos y no puedo arrendar las habitaciones.Me confirmaron que no tenían ninguna confirmación de una cita. Que hago, es un complot de Directv, Avianca, Bancolombia, Claro etc de joder la vida de los usuarios?",NEGATIVE,
9/10/2023,1:00:00 a.m.,RT @sebasnavarrooo_: Venta de video llamadas al Dm 😈 sólo PayPal bancolombia o nequi 😏😈🤤 https://t.co/LZs5Ej43pT,OBJECTIVE,
9/10/2023,1:34:00 a.m.,"Julio es mi mes favorito por mi cumpleaños, pero mk yaaaaaaaa, ACABATEEEEE..  Posdata: La cola larga de bancolombia me tiene reflexionando este mes tan largo🥴",NEGATIVE,
9/10/2023,10:12:00 p.m.,"Bancolombia culpa a Nequi de las fallas ocurridas con las transacciones y en vez de apersonarse del caso, por el error cometido en su entidad, están redireccionando a Nequi o a canales físicos para solución de falla, niegan pqrs.",NEGATIVE,
9/10/2023,10:30:00 p.m.,"@Bancolombia He intentado ponerme en contacto con ese canal de atención via llamada y ha sido imposible, un asesor peor que el otro, yo fui una de las afectadas por esta falla y aun no me han regresado el dinero y yo soy la unica perjudicada. Solicito me contacten",NEGATIVE,
9/10/2023,11:33:00 p.m.,RT @fniunaminas2022: La vaca para la silla llego a http://600.mil falta mucho pero lo vamos a lograr gracias a la solidaridad de los colombianos que valoran nuestro sacrificio ayudas a CTA AHORROS Bancolombia 48612235590 NEQUI 3112591975 dios bendice al dador alegre WhatsApp 3112591975 un RT https://t.co/75pX9O0oib,OBJECTIVE,
9/10/2023,4:26:00 a.m.,"@Bancolombia Ojo con las transacciones, a algunos se les debilitaron más de una vez, a otros, nos borraron del histórico de transacciones los movimientos perdidos (Dinero Robado) Estuve dos horas con asesora en llamada , se negó a tomar pqr durante 2 horas, al final le tocó.",OBJECTIVE,
9/10/2023,4:52:00 p.m.,"Al fin qué @Bancolombia, suéltame https://t.co/l29mFlM44E",OBJECTIVE,
9/10/2023,4:59:00 p.m.,@Bancolombia @SFCsupervisor 6 pm… se pasó un día más y nada que piensan solucionar este problema que tienen… y fuera de eso por DM no contestan,NEGATIVE,
9/10/2023,7:53:00 p.m.,"@elmikerincon @Bancolombia @SFCsupervisor Así es Michael, yo ya puse la denuncia les recomiendo aa todos hacer lo mismo si gustas te paso el link que la superfinanciera me pasó por DM",OBJECTIVE,
9/10/2023,6:07:00 p.m.,RT @PaulinaLaAndona: Nequi y Bancolombia https://t.co/FzEDUv7kFS,OBJECTIVE,
9/10/2023,6:25:00 p.m.,"Gente, @Bancolombia está caído. Pero no son penas. Sólo deben ingresar al link.Pta. Desde Bellavista se les quiere. https://t.co/F2Mqtvntpn",NEGATIVE,
9/10/2023,6:58:00 p.m.,RT @DelthaLozano: @Nequi Prestan un mal servicio cada vez que voy a realizar una transferencia de app Bancolombia a nequi.  Arroja . Error los sentimos intenta más tarde . Una 💩.,NEGATIVE,
9/10/2023,7:01:00 p.m.,La vaca para la silla llego a null falta mucho pero lo vamos a lograr gracias a la solidaridad de los colombianos que valoran nuestro sacrificio ayudas a CTA AHORROS Bancolombia 48612235590 NEQUI 3112591975 dios bendice al dador alegre WhatsApp 3112591975 un RT https://t.co/75pX9O0oib,OBJECTIVE,
9/10/2023,7:17:00 p.m.,"@Bancolombia Les acabo de escribir, ojalá si me contacten, esto es inaceptable",NEGATIVE,
9/10/2023,7:33:00 p.m.,"Hola mis amor quien compra contenido xxx en $10 mil 🙏😭 nequi,daviplata,bancolombia o paypaly despues se cuadra encuentro whatsapp 3102143963",OBJECTIVE,
9/10/2023,8:36:00 p.m.,"Asegurar el bienestar financiero también es llegar informado y a tiempo a declarar renta. Para lograrlo Bancolombia y Tributi, tendrán un webinar con expertos en esta obligación tributaria, el miércoles 2 de agosto a las 4:00 p.m. Aquí 👉 https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3Ameeting_OWJlY2VhYjctMjgzZC00YjBmLTkwZTctN2NhODdmZWRlZDg4%40thread.v2%2F0%3Fcontext%3D%257B%2522Tid%2522%3A%2522b5e244bd-c492-495b-8b10-61bfd453e423%2522%2C%2522Oid%2522%3A%252239345217-8b5a-4b89-bff6-8e51ae23577c%2522%2C%2522IsBroadcastMeeting%2522%3Atrue%2C%2522role%2522%3A%2522a%2522%257D%26btype%3Da%26role%3Da%26anon%3Dtrue&type=meetup-join&deeplinkId=e2266d28-6adf-4915-9f3d-f81aae26e19c&directDl=true&msLaunch=true&enableMobilePage=true pueden conectarse https://t.co/JBLmFFt8iM",OBJECTIVE,
9/10/2023,8:41:00 p.m.,"@Vanesar01 @CarlosHernnRam3 @Bancolombia Igual me ocurrió con esa entidad bancaria. Estoy a la espera del pronunciamiento escrito, para entrar a demandar",OBJECTIVE,
9/10/2023,7:26:00 p.m.,@stefypaola_Mor @DaviPlata @Davivienda Me ocurrió lo mismo pero por @Bancolombia y de la plata nada,OBJECTIVE,
9/10/2023,9:18:00 p.m.,@KlsMorales @Marcela07421072 @DaviPlata @transfiya A mi me pasó con @Bancolombia y ni rastros de la plata,OBJECTIVE,
9/10/2023,9:20:00 p.m.,"Hasta que me pasó, hice una recarga en nequi de 100.000 pesos y las ratas de bancolombia @Bancolombia descontaron dos veces el mismo valor.  ¿Hasta cuándo estos abusos? @SFCsupervisor https://t.co/oaaqKNzIEc",NEGATIVE,
9/10/2023,11:50:00 a.m.,"@Mariferjunio10 @ScotiaColpatria @SFCsupervisor Bancolombia, Davivienda, La Villas, Bogotá, son peores, juegan y juegan con el billete de uno los días que quieran, le rentan y a uno se lo abonan depreciado.",NEGATIVE,
9/10/2023,12:04:00 p.m.,"#Bancolombia me está debitando indebidamente un millon seiscientos mil pesos por unas transacciones realizadas mientras tenían el sistema caído. Al día siguiente me dijeron que repondrían esos débitos en menos de 48 horas, ya pasaron 72 horas y no dan razón de la falla.",NEGATIVE,
9/10/2023,12:09:00 p.m.,Qué hacer cuando se hace una transferencia a cuenta o número equivocado; es un problema https://www.pulzo.com/economia/que-hacer-si-envio-dinero-cuenta-o-numero-equivocado-bancolombia-PP2939019 https://t.co/h8Ir4fsfmd,OBJECTIVE,
9/10/2023,12:15:00 p.m.,"@ACHColombia_ @Bancolombia @Nequi No se puede enviar mensaje si no se está verificado en twitter, para eso hay que pagar y como no aparece el dinero no puedo pagarlo.",NEGATIVE,
9/10/2023,10:02:00 a.m.,@ACHColombia_ @Nequi @Bancolombia No puedo enviarles mensaje por qué no estoy verificada en twitter y para estar verificada tengo que pagar. Lo mismo les respondí el otro día que me comentaron.,NEGATIVE,
9/10/2023,11:13:00 a.m.,"RT @juandiegouriber: Venta de contenido exclusivo 😈 pago 💸 por PayPal, Bancolombia, Nequi, DaviPlata, WesternUnion, escríbeme y pregunta por mi paquete de videos 😈😳🤤🤤🤤🤤 https://t.co/lvKomD6ya2",OBJECTIVE,
9/10/2023,12:50:00 p.m.,@carvajal767 @DaviPlata @Bancolombia ¡Hola! Queremos ayudarte con tu caso. Por favor escríbenos a nuestro DM. Estamos atentos.,OBJECTIVE,
9/10/2023,1:41:00 p.m.,@varga54895 @Nequi @Bancolombia ¡Hola! Queremos ayudarte con tu caso. Por favor escríbenos a nuestro DM. Estamos atentos.,OBJECTIVE,
9/10/2023,12:12:00 p.m.,"@iyepes0120 @Bancolombia @sicsuper Para validar lo sucedido con la transacción, te invitamos a contarnos los detalles por DM desde nuestras cuentas oficiales de Facebook, Twitter e Instagram o nuestro Portal de Ayuda: https://www.mercadopago.com.co/ayudaTe esperamos.",OBJECTIVE,
9/10/2023,10:38:00 a.m.,@varga54895 @Bancolombia @Nequi ¡Hola! Queremos ayudarte con tu caso. Por favor escríbenos a nuestro DM. Estamos atentos.,OBJECTIVE,
9/10/2023,9:55:00 a.m.,@fulanito1987 @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,11:01:00 a.m.,@Dcn_92 @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,10:58:00 a.m.,@YulyJGarcia @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,10:58:00 a.m.,@LeydysMedina @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,11:06:00 a.m.,@RpoJuli @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,11:31:00 a.m.,@SebasCZ93 @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,8:57:00 a.m.,@_juanflorez99 @DerlyLp @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,9:17:00 a.m.,@DerlyLp @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,12:33:00 p.m.,@danielaaborja1 @Bancolombia @SFCsupervisor Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,1:13:00 p.m.,RT @CelinaMore20026: Nuevo contenido exclusivo sin censura en nuestro telegram 🔥 pagos por bancolombia o Paypal más información al dm o wasap 😈313 8931849😈 https://t.co/l5vnaOr1kJ,OBJECTIVE,
9/10/2023,12:44:00 p.m.,@Aleja2489Ortiz @Bancolombia @EPMestamosahi Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,1:17:00 p.m.,@DaniloLombo @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,1:20:00 p.m.,@telesalejo @Bancolombia Vamos a organizar para colocar una demanda colectiva.,NEGATIVE,
9/10/2023,1:24:00 p.m.,Bancolombia tiene el mismo 6% de eficiencia que la Fiscalía 🤡🤡🤡,NEGATIVE,
9/10/2023,1:29:00 p.m.,"@Bancolombia No me contestan nada por ningún canal, no es posible que una entidad financiera actúe así, esto debe ser ilegal.",NEGATIVE,
9/10/2023,10:18:00 a.m.,"Nequi, necesitás más capacidad.¿Nequi vende acciones en la bolsa o sigue siendo Bancolombia?",OBJECTIVE,
9/10/2023,10:26:00 a.m.,"RT @asdrubal1963: @HistoriaNG @ecoosfera @Bancolombia @zaidacastillo51 @Colombi86542069 @LaOtraCaraCN @PedroSa56651488 @supercatrina66 @JoseantonioJun @TysonUribeVelez #HistoriaNG🌐#NatGeoEsp#ÚnetePorColombia🇨🇴¿Cuáles son las estrellas más grandes de la Vía Láctea?Estas son las estrellas más grandes y brillantes de la Vía Láctea, los verdaderos colosos del vecindario galáctico del Sistema Solar. https://www.ngenespanol.com/el-espacio/cuales-son-las-estrellas-mas-grandes-de-la-via-lactea/ vía ➡️ @NatGeoEsp",OBJECTIVE,
9/10/2023,9:33:00 a.m.,"@HistoriaNG @ecoosfera @Bancolombia @zaidacastillo51 @Colombi86542069 @LaOtraCaraCN @PedroSa56651488 @supercatrina66 @JoseantonioJun @TysonUribeVelez #HistoriaNG🌐#NatGeoEsp#ÚnetePorColombia🇨🇴¿Cuáles son las estrellas más grandes de la Vía Láctea?Estas son las estrellas más grandes y brillantes de la Vía Láctea, los verdaderos colosos del vecindario galáctico del Sistema Solar. https://www.ngenespanol.com/el-espacio/cuales-son-las-estrellas-mas-grandes-de-la-via-lactea/ vía ➡️ @NatGeoEsp",OBJECTIVE,
9/10/2023,1:38:00 p.m.,Bancolombia y Nequi son una puta mierda.,NEGATIVE,
9/10/2023,2:00:00 p.m.,"@Bancolombia Hola, ya les escribí por el interno",OBJECTIVE,
9/10/2023,1:29:00 p.m.,RT @BelindaDiazgra1: Quiere saber del video preguntame paypal Bancolombia nequi https://t.co/dUPFIMP2GV,OBJECTIVE,
9/10/2023,1:08:00 p.m.,@Bancolombia hice 2 transacciones por #TransfiYa y me aparece este mensaje. Esto ocurrió a las 3:12 hoy 31 de julio y auno no aparece el dinero en mi cuenta. https://t.co/AYViCNG9qh,OBJECTIVE,
9/10/2023,9:15:00 p.m.,Que tortura llamar a Bancolombia,NEGATIVE,
9/10/2023,1:45:00 a.m.,¿Alguien sabe la ruta y los papeles que toca pedir para la declaración de renta en @Bancolombia ?,OBJECTIVE,
9/10/2023,5:31:00 a.m.,"@Bancolombia Mejor me voy para el banco público, @BancoAgrario wellcome",POSITIVE,
9/10/2023,5:46:00 a.m.,"RT @FSanador: Lo hemos llamado cesar, lo trajimos a barranquilla, a la veterinaria jpest, nesecitamos ayuda con sus gustos medicos, nequi daviplata ❤️‍🩹 3046646499 ch. Bancolombia ❤️‍🩹 51700003502 realmente no tenemos recursos para sus gastos médicos, pero no queríamos q lo sacrificarán https://t.co/erKNyXmIJy",OBJECTIVE,
9/10/2023,2:41:00 a.m.,"@SFCsupervisor que falta de respeto que aún después de 3 días no haya una respuesta concreta por parte de @Bancolombia con la devolución del dinero. Ya no es cuestión de más tiempo, sino de una solución real 😠😠",NEGATIVE,
9/10/2023,2:36:00 a.m.,@ornellaPeralta7 @nathsparkles bormo me tenía mi bancolombia triste😫,NEGATIVE,
9/10/2023,7:49:00 a.m.,Yo no voy a quedar tranquila hasta quemar un BancolombiaEstoy harta,NEGATIVE,
9/10/2023,6:20:00 a.m.,@Bancolombia El sistema caído para variar 😡,NEGATIVE,
9/10/2023,2:31:00 a.m.,Que mierda con la x de twitter yo dije que instalaron en mi telefono me estan chuzando 🤣😌😌 y para completar @Bancolombia no servia yo dije nooo ya me robaron 😆,NEGATIVE,
9/10/2023,3:26:00 a.m.,"@Bancolombia Yo estoy esperando una respuesta, una app que mantiene caída, cuando no, te sacan el dinero y luego se demoran para responder una eternidad.",NEGATIVE,
9/10/2023,4:03:00 a.m.,Hpta bancolombia😡😡,NEGATIVE,
9/10/2023,10:15:00 p.m.,Esa línea de Bancolombia si no sirve pa sapo culo,OBJECTIVE,
9/10/2023,11:17:00 p.m.,RT @fniunaminas2022: Hacen dos meses comenzamos la colecta para reunir $2.600.000 que vale la silla del #heroe camero al la fecha van $550.000 unete no seamos indiferente CTA ahorros Bancolombia 48612235590 NEQUI 3112591975 WhatsApp 3112591975 regalanos un RT ayúdanos ayudar 🙏🙏🙏 @ghitis @lcvelez https://t.co/kNuJouRDLW,OBJECTIVE,
9/10/2023,1:51:00 p.m.,RT @osobrio: Gran estrategia de ahorro de la app de Bancolombia para evitar gastos innecesarios. Básicamente porque nunca funciona.,NEGATIVE,
9/10/2023,12:39:00 p.m.,"RT @Vanesar01: Se entraron a mi cuenta, me robaron dinero y @Bancolombia dice que sale el reporte que alguien entró a mi cuenta, pero que ellos no responden por eso 🤡",OBJECTIVE,
9/10/2023,12:13:00 p.m.,Gran estrategia de ahorro de la app de Bancolombia para evitar gastos innecesarios. Básicamente porque nunca funciona.,NEGATIVE,
9/10/2023,11:58:00 a.m.,"@ernestosamperp @FiscaliaCol @petrogustavo Y los que roban andan sueltos me robaron imagino desde alguna cárcel con falsa encomienda, desde cuentas de @Bancolombia ya puse las demandas a @GaulaPolicia @PoliciaColombia  @Bancolombia_Inv no debería dejar abrir cuentas por internet porq las usan para robar Cuentas de ladrone https://t.co/G3oWKCcEhA",NEGATIVE,
9/10/2023,9:28:00 p.m.,Gran estrategia de ahorro de la app de Bancolombia para evitar gastos innecesarios. Básicamente por nunca funciona.,NEGATIVE,
